status	setting	original_bytes	new_bytes	original_pages	new_pages	path	detail
replaced	ebook	224736677	3789856	19	19	obsidian-vault/paperPDFs/SIGGRAPH_2024/A_Heat_Method_for_Generalized_Signed_Distance.pdf	qpdf ok
replaced	ebook	210517761	1188567	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Low_Rank_Adaptation_of_Neural_Fields.pdf	qpdf ok
replaced	ebook	214803999	1582914	14	14	obsidian-vault/paperPDFs/SIGGRAPH_2024/Learning_a_Generalized_Physical_Face_Model_From_Data.pdf	qpdf ok
replaced	ebook	192077726	1477401	14	14	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/OpenSVBRDF_A_Database_of_Measured_Spatially_Varying_Reflectance.pdf	qpdf ok
replaced	ebook	216508488	3187263	26	26	obsidian-vault/paperPDFs/SIGGRAPH_2025/Generative_detail_enhancement_for_physically_based_materials.pdf	qpdf ok
replaced	ebook	188484352	1668975	12	12	obsidian-vault/paperPDFs/SIGGRAPH_2025/Predicting_Fabric_Appearance_Through_Thread_Scattering_and_Inversion.pdf	qpdf ok
replaced	ebook	220756540	1870544	21	21	obsidian-vault/paperPDFs/SIGGRAPH_2025/Feature_Aligned_Parametrization_in_Penner_Coordinates.pdf	qpdf ok
replaced	screen	216729660	8355711	13	13	obsidian-vault/paperPDFs/SIGGRAPH_2024/Area_ReSTIR_Resampling_for_Real_time_Defocus_and_Antialiasing.pdf	qpdf ok
replaced	ebook	163624097	2277584	23	23	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Acoustic_Reliefs.pdf	qpdf ok
replaced	ebook	184723686	1403436	19	19	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Metric_Optimization_in_Penner_Coordinates.pdf	qpdf ok
replaced	ebook	235560795	1803294	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Sharpening_and_Sparsifying_with_Surface_Hessians.pdf	qpdf ok
replaced	ebook	160809288	1752509	17	17	obsidian-vault/paperPDFs/SIGGRAPH_2023/Surface_Simplification_Using_Intrinsic_Error_Metrics.pdf	qpdf ok
replaced	ebook	164583411	2697994	19	19	obsidian-vault/paperPDFs/SIGGRAPH_2022/Authentic_Volumetric_Avatars_From_a_Phone_Scan.pdf	qpdf ok
replaced	ebook	174870435	1537879	17	17	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/C_shells_Deployable_Gridshells_with_Curved_Beams.pdf	qpdf ok
replaced	ebook	154688181	1986089	14	14	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Projective_Sampling_for_Differentiable_Rendering_of_Geometry.pdf	qpdf ok
replaced	screen	161964481	2314104	12	12	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/Efficient_Hybrid_Zoom_using_Camera_Fusion_on_Mobile_Phones.pdf	qpdf ok
