paper_id,title,venue,year,canonical_paper_link,canonical_code_link,category,pdf_path,pdf_sha256,analysis_path,analysis_level,schema_version,first_seen_at,last_seen_at,status,notes
arxiv:1706.03741,Deep Reinforcement Learning from Human Preferences,NeurIPS 2017,2017,https://arxiv.org/abs/1706.03741,N/A,Agentic_Reasoning_Self_evolving_Agentic_Reasoning_Agentic_Feedback_Mechanisms_Parametric_Adaptation,paperPDFs/Agentic_Reasoning_Self_evolving_Agentic_Reasoning_Agentic_Feedback_Mechanisms_Parametric_Adaptation/NeurIPS_2017/2017_Deep_Reinforcement_Learning_from_Human_Preferences.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Self_evolving_Agentic_Reasoning_Agentic_Feedback_Mechanisms_Parametric_Adaptation/NeurIPS_2017/arxiv_1706.03741.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:1712.00600,MAgent: A Many-Agent Reinforcement Learning Platform for Artificial Collective Intelligence,AAAI 2018,2018,https://arxiv.org/abs/1712.00600,N/A,Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation,paperPDFs/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/AAAI_2018/2018_MAgent_A_Many_Agent_Reinforcement_Learning_Platform_for_Artificial_Collective_Intelligence.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/AAAI_2018/arxiv_1712.00600.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:1809.07124,Pommerman: A Multi-Agent Playground,arXiv 2018,2018,https://arxiv.org/abs/1809.07124,N/A,Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation,paperPDFs/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/arXiv_2018/2018_Pommerman_A_Multi_Agent_Playground.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/arXiv_2018/arxiv_1809.07124.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:1902.04043,The StarCraft Multi-Agent Challenge,NeurIPS 2019,2019,https://arxiv.org/abs/1902.04043,N/A,Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation,paperPDFs/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/NeurIPS_2019/2019_The_StarCraft_Multi_Agent_Challenge.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/NeurIPS_2019/arxiv_1902.04043.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:1905.08085,Arena: A General Evaluation Platform and Building Toolkit for Multi-Agent Intelligence,AAAI 2020,2020,https://arxiv.org/abs/1905.08085,N/A,Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation,paperPDFs/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/AAAI_2020/2020_Arena_A_General_Evaluation_Platform_and_Building_Toolkit_for_Multi_Agent_Intelligence.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Multi_Agent_System_Game_based_reinforcement_learning_evaluation/AAAI_2020/arxiv_1905.08085.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:2005.14165,Language Models are Few-Shot Learners,NeurIPS 2020,2020,https://arxiv.org/abs/2005.14165,N/A,Agentic_Reasoning_Applications_Autonomous_Web_Exploration_Research_Agents_Foundational_agentic_reasoning,paperPDFs/Agentic_Reasoning_Applications_Autonomous_Web_Exploration_Research_Agents_Foundational_agentic_reasoning/NeurIPS_2020/2020_Language_Models_are_Few_Shot_Learners.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Applications_Autonomous_Web_Exploration_Research_Agents_Foundational_agentic_reasoning/NeurIPS_2020/arxiv_2005.14165.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:2008.12272,"ROMP: Monocular, One-stage, Regression of Multiple 3D People",ICCV 2021,2021,https://arxiv.org/abs/2008.12272,N/A,Human_Reconstruction_Motion_Interaction_Avatar,paperPDFs/Human_Reconstruction_Motion_Interaction_Avatar/ICCV_2021/2021_ROMP_Monocular_One_stage_Regression_of_Multiple_3D_People.pdf,723a45e9ceac1486e725b4dd8177ef98aa9ab6658dc89130538a6498ce3d61e8,PaperBite/papers/Human_Reconstruction_Motion_Interaction_Avatar/ICCV_2021/arxiv_2008.12272.md,none,2,2026-04-22T21:41:50+08:00,2026-04-22T22:30:10+08:00,downloaded,managed_by=paperbite_sync_download_v1
arxiv:2010.03768,ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,ICLR 2021,2021,https://arxiv.org/abs/2010.03768,N/A,Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Memory_and_Planning_Planning_and_Feedback,paperPDFs/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Memory_and_Planning_Planning_and_Feedback/ICLR_2021/2021_ALFWorld_Aligning_Text_and_Embodied_Environments_for_Interactive_Learning.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Memory_and_Planning_Planning_and_Feedback/ICLR_2021/arxiv_2010.03768.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:2010.09776,SMARTS: Scalable Multi-Agent Reinforcement Learning Training School for Autonomous Driving,CoRL 2020,2020,https://arxiv.org/abs/2010.09776,N/A,Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Simulation_centric_real_world_assessment,paperPDFs/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Simulation_centric_real_world_assessment/CoRL_2020/2020_SMARTS_Scalable_Multi_Agent_Reinforcement_Learning_Training_School_for_Autonomous_Driving.pdf,N/A,PaperBite/papers/Agentic_Reasoning_Benchmarks_Core_Mechanisms_of_Agentic_Reasoning_Simulation_centric_real_world_assessment/CoRL_2020/arxiv_2010.09776.md,none,2,2026-04-14T00:28:26+08:00,2026-04-14T00:31:05+08:00,waiting_pdf,managed_by=paperbite_sync_download_v1
arxiv:2011.11232,NeuralAnnot: Neural Annotator for 3D Human Mesh Training Sets,CVPR 2022 Workshop,2022,https://arxiv.org/abs/2011.11232,N/A,Human_Reconstruction_Motion_Interaction_Avatar,paperPDFs/Human_Reconstruction_Motion_Interaction_Avatar/CVPR_2022_Workshop/2022_NeuralAnnot_Neural_Annotator_for_3D_Human_Mesh_Training_Sets.pdf,08a8f0554aec2ccf9d42a910d2fc7c4bf8247f1c1b53fe211c05cfdd21f0420e,PaperBite/papers/Human_Reconstruction_Motion_Interaction_Avatar/CVPR_2022_Workshop/arxiv_2011.11232.md,none,2,2026-04-22T21:41:50+08:00,2026-04-22T22:30:10+08:00,downloaded,managed_by=paperbite_sync_download_v1
